name,parent,value
Origin,,
Exports,Origin,"2,740,170,000"
Alcohol for Fuel Use,Origin,"5,330,000,000"
Feed and Residual Use,Origin,"5,600,000,000"
"Other food, seed, and industrial use",Origin,"1,445,000,000"
